doi,sample_label,source_location,data_license,conditions,resin,dynamic_unit,functional_group_type,chain_architecture,soft_segment,metal_ligand,filler_type,filler_pct,dadiol_mol_pct,prepolymer_b_mol_pct,original_tensile_strength_mpa,healed_tensile_strength_mpa,healing_efficiency_pct
10.1002/app.55070,DAPE-4-0,"PDF pp. 5-6, Figure 4; p. 11 mechanical testing","User-authorized copy; Wiley copyright","{""metric_basis"":""tensile-strength recovery"",""damage"":""sample cut at the middle perpendicular to the tensile axis"",""thermal_activation"":""heating plate at 120 C for 10 s; immediately spliced in situ; cooled to room temperature and held for 120 min"",""shape_memory_assisted"":true,""prepolymer_A_mol"":0.04,""prepolymer_B_mol"":0.00,""furfurylamine_mol"":0.08,""bismaleimide_mol"":0.04}",polyurethane elastomer,"Diels-Alder (furfurylamine-bismaleimide) plus hydrogen bonds",urethane,crosslinked,PCL,,,,,0,3.5,2.2,63.9
10.1002/app.55070,DAPE-4-1,"PDF pp. 5-6, Figure 4; p. 11 mechanical testing","User-authorized copy; Wiley copyright","{""metric_basis"":""tensile-strength recovery"",""damage"":""sample cut at the middle perpendicular to the tensile axis"",""thermal_activation"":""heating plate at 120 C for 10 s; immediately spliced in situ; cooled to room temperature and held for 120 min"",""shape_memory_assisted"":true,""prepolymer_A_mol"":0.03,""prepolymer_B_mol"":0.01,""furfurylamine_mol"":0.08,""bismaleimide_mol"":0.04}",polyurethane elastomer,"Diels-Alder (furfurylamine-bismaleimide) plus hydrogen bonds",urethane,crosslinked,PCL,,,,,25,4.3,3.1,72.1
10.1002/app.55070,DAPE-4-2,"PDF pp. 5-6, Figure 4; p. 11 mechanical testing","User-authorized copy; Wiley copyright","{""metric_basis"":""tensile-strength recovery"",""damage"":""sample cut at the middle perpendicular to the tensile axis"",""thermal_activation"":""heating plate at 120 C for 10 s; immediately spliced in situ; cooled to room temperature and held for 120 min"",""shape_memory_assisted"":true,""prepolymer_A_mol"":0.02,""prepolymer_B_mol"":0.02,""furfurylamine_mol"":0.08,""bismaleimide_mol"":0.04}",polyurethane elastomer,"Diels-Alder (furfurylamine-bismaleimide) plus hydrogen bonds",urethane,crosslinked,PCL,,,,,50,5.9,4.6,78.02
10.1002/app.55070,DAPE-4-3,"PDF pp. 5-6, Figure 4; p. 11 mechanical testing","User-authorized copy; Wiley copyright","{""metric_basis"":""tensile-strength recovery"",""damage"":""sample cut at the middle perpendicular to the tensile axis"",""thermal_activation"":""heating plate at 120 C for 10 s; immediately spliced in situ; cooled to room temperature and held for 120 min"",""shape_memory_assisted"":true,""prepolymer_A_mol"":0.01,""prepolymer_B_mol"":0.03,""furfurylamine_mol"":0.08,""bismaleimide_mol"":0.04}",polyurethane elastomer,"Diels-Alder (furfurylamine-bismaleimide) plus hydrogen bonds",urethane,crosslinked,PCL,,,,,75,7.1,6.0,84.0
10.1002/app.55070,DAPE-4-4,"PDF pp. 5-6, Figure 4; p. 11 mechanical testing","User-authorized copy; Wiley copyright","{""metric_basis"":""tensile-strength recovery"",""damage"":""sample cut at the middle perpendicular to the tensile axis"",""thermal_activation"":""heating plate at 120 C for 10 s; immediately spliced in situ; cooled to room temperature and held for 120 min"",""shape_memory_assisted"":true,""prepolymer_A_mol"":0.00,""prepolymer_B_mol"":0.04,""furfurylamine_mol"":0.08,""bismaleimide_mol"":0.04}",polyurethane elastomer,"Diels-Alder (furfurylamine-bismaleimide) plus hydrogen bonds",urethane,crosslinked,PCL,,,,,100,7.9,7.3,91.8
10.1016/j.ijbiomac.2023.125925,PUDA-L-0.5g,"PDF p. 1 abstract; p. 12, Figure 9 and conclusion","User-authorized copy; Elsevier standard copyright","{""metric_basis"":""tensile-strength recovery"",""damage"":""dumbbell sample cut and fused"",""thermal_activation"":""130 C for 4 h"",""pcl_to_da_diol_to_tdi_molar_ratio"":""1:1:2.5"",""lignin_addition_g"":0.5,""reported_recovery_pct"":101.83}",lignin-based polyurethane elastomer,"Diels-Alder (DA diol) plus lignin hydrogen bonds",urethane,crosslinked,PCL,,,0.5,,,28.93,29.46,101.83
