doi,sample_label,source_location,data_license,resin,resin_variant,dynamic_unit,toughener_type,toughener_loading_phr,filler_type,filler_surface_treatment,filler_pct,impact_strength_increase_pct,elongation_at_break_pct,initial_ignition_time_increment_s,smoke_production_rate_reduction_pct,total_heat_release_reduction_pct,peak_heat_release_rate_reduction_pct,single_fiber_pullout_strength_mpa,interlaminar_shear_strength_mpa,flexural_strength_mpa,dielectric_constant,dielectric_loss_tangent,fracture_toughness_recovery_pct,microtensile_strength_recovery_pct
10.1002/pat.519,CE plus CTBN 10 phr,Abstract public publisher record,Publisher abstract user-authorized literature ingestion,cyanate ester,rigid triazine,none,CTBN,10,,,,200,,,,,,,,,,,,
10.1016/j.reactfunctpolym.2021.104982,CE plus CTBN plus epoxy reported maximum,Abstract public publisher record,Publisher abstract user-authorized literature ingestion,cyanate ester,rigid triazine,none,CTBN,,,,,,40,,,,,,,,,,,
10.1002/pat.4675,BCy plus PDA-assisted BN at CeO2 hybrid 4 wt%,Abstract public publisher record,Publisher abstract user-authorized literature ingestion,bisphenol-A cyanate ester,rigid triazine,none,none,,BN@CeO2,PDA-assisted grafting,4,,,23,58.1,23.1,44.4,,,,,,,
10.1016/j.coco.2018.03.006,PBO at PDA KH-560 plus m-BADCy,Abstract public publisher record,Publisher abstract user-authorized literature ingestion,fluorinated bisphenol-A cyanate ester,rigid triazine,none,none,,PBO fiber,PDA plus KH-560,,,,,,,,4.0,49.5,652.2,2.86,0.0057,,
10.1002/pat.3290,CE plus PPO 15 wt% healed at 220 C,Abstract public publisher record,Publisher abstract user-authorized literature ingestion,cyanate ester,rigid triazine,none,PPO,,,,,,,,,,,,,,,,73,81
