doi,sample_label,source_location,data_license,conditions,resin,dynamic_unit,functional_group_type,chain_architecture,soft_segment,soft_segment_mn_g_mol,original_tensile_strength_mpa,healing_efficiency_pct
10.1002/app.40234,C-PMPU-DA-healed-1st,"PDF p. 6, Figure 9 and self-healing-properties text","User-authorized copy; Wiley standard copyright","{""metric_basis"":""breaking (tensile)-strength recovery"",""damage"":""surgical-blade cut through specimen center"",""thermal_activation"":""130 C for about 5 min; followed by 55 C for 1 day"",""healing_cycle"":1,""tensile_crosshead_speed_mm_min"":50,""specimen_dimensions_mm"":""20 x 4 x 0.4-1""}",polyurethane-urea,"Diels-Alder (furan-bismaleimide)",urethane,crosslinked,"poly(1,4-butylene adipate) (PBA-2000)",2000,46.5,92.4
10.1002/app.40234,C-PMPU-DA-healed-3rd,"PDF pp. 6-7, Figure 9 and conclusions","User-authorized copy; Wiley standard copyright","{""metric_basis"":""breaking (tensile)-strength recovery"",""damage"":""surgical-blade cut through specimen center"",""thermal_activation"":""130 C for about 5 min; followed by 55 C for 1 day"",""healing_cycle"":3,""tensile_crosshead_speed_mm_min"":50,""specimen_dimensions_mm"":""20 x 4 x 0.4-1""}",polyurethane-urea,"Diels-Alder (furan-bismaleimide)",urethane,crosslinked,"poly(1,4-butylene adipate) (PBA-2000)",2000,46.5,64.5
