doi,sample_label,source_location,data_license,conditions,resin,dynamic_unit,functional_group_type,chain_architecture,soft_segment,filler_type,filler_pct,original_tensile_strength_mpa,healed_tensile_strength_mpa,original_youngs_modulus_mpa,healed_youngs_modulus_mpa,original_strain_at_break_pct,healed_strain_at_break_pct,healing_efficiency_pct
10.3390/polym14245394,PU-DA,"PDF p. 8, Table 2",CC-BY-4.0,"{""metric_basis"":""tensile-strength recovery"",""damage"":""blade cut at specimen midpoint"",""thermal_activation"":""120 C for 2 h; then 60 C for 4 days"",""control_sample_count"":5,""specimen_thickness_mm"":""1.5-2.0""}",polyurethane,"Diels-Alder (maleimide-furan)",urethane,crosslinked,,,,9.8,9.1,32.9,32.8,334,280,93
10.1039/C4TA04941A,PU-DA-GO-0,"PDF pp. 5-6, Tables 2-3 and Fig. 9","User-authorized accepted manuscript; RSC standard terms","{""metric_basis"":""breaking-stress recovery"",""damage"":""tensile fracture; immediately rejoined under gentle pressure"",""thermal_activation"":""150 C for 4 h; then 65 C for 24 h"",""tensile_crosshead_speed_mm_min"":5,""replicates"":"">3""}",polyurethane,"Diels-Alder (furan-bismaleimide)",urethane,crosslinked,PTMEG-2000,graphene oxide,0,2.16,2.14,9.8,11.15,213,103,98.16
10.1039/C4TA04941A,iGO-PU-DA-1,"PDF pp. 5-6, Tables 2-3 and Fig. 9","User-authorized accepted manuscript; RSC standard terms","{""metric_basis"":""breaking-stress recovery"",""damage"":""tensile fracture; immediately rejoined under gentle pressure"",""thermal_activation"":""150 C for 4 h; then 65 C for 24 h"",""tensile_crosshead_speed_mm_min"":5,""replicates"":"">3""}",polyurethane,"Diels-Alder (furan-bismaleimide)",urethane,crosslinked,PTMEG-2000,graphene oxide,0.1,8.01,5.7,21.95,15.59,449,275,71.12
10.1039/C4TA04941A,iGO-PU-DA-2,"PDF pp. 5-6, Tables 2-3 and Fig. 9","User-authorized accepted manuscript; RSC standard terms","{""metric_basis"":""breaking-stress recovery"",""damage"":""tensile fracture; immediately rejoined under gentle pressure"",""thermal_activation"":""150 C for 4 h; then 65 C for 24 h"",""tensile_crosshead_speed_mm_min"":5,""replicates"":"">3""}",polyurethane,"Diels-Alder (furan-bismaleimide)",urethane,crosslinked,PTMEG-2000,graphene oxide,0.5,7.19,5,28.61,37.33,282,132,69.54
10.1039/C4TA04941A,iGO-PU-DA-3,"PDF pp. 5-6, Tables 2-3 and Fig. 9","User-authorized accepted manuscript; RSC standard terms","{""metric_basis"":""breaking-stress recovery"",""damage"":""tensile fracture; immediately rejoined under gentle pressure"",""thermal_activation"":""150 C for 4 h; then 65 C for 24 h"",""tensile_crosshead_speed_mm_min"":5,""replicates"":"">3""}",polyurethane,"Diels-Alder (furan-bismaleimide)",urethane,crosslinked,PTMEG-2000,graphene oxide,1,7.09,5.21,209.01,111.33,54,30,73.48
10.1039/D0GC03695A,PUUa-DA-120C10m-60C24h,"PDF p. 7, Fig. 9 discussion","User-authorized accepted manuscript; RSC standard terms","{""metric_basis"":""toughness recovery"",""damage"":""cut into two pieces; fresh surfaces immediately contacted"",""thermal_activation"":""120 C for 10 min; then 60 C for 24 h""}",polyurethane-urea,"Diels-Alder (furan-bismaleimide) plus hydrogen bonds",urethane,crosslinked,oligourea,,,18.5,,151,,136,,94
10.1039/D0GC03695A,PUUa-DA-60C24h,"PDF p. 7, Fig. 9 discussion","User-authorized accepted manuscript; RSC standard terms","{""metric_basis"":""toughness recovery"",""damage"":""cut into two pieces; fresh surfaces immediately contacted"",""thermal_activation"":""60 C for 24 h""}",polyurethane-urea,"Diels-Alder (furan-bismaleimide) plus hydrogen bonds",urethane,crosslinked,oligourea,,,18.5,,151,,136,,39
10.1039/D0GC03695A,PUUa-DA-120C10m,"PDF p. 7, Fig. 9 discussion","User-authorized accepted manuscript; RSC standard terms","{""metric_basis"":""toughness recovery"",""damage"":""cut into two pieces; fresh surfaces immediately contacted"",""thermal_activation"":""120 C for 10 min""}",polyurethane-urea,"Diels-Alder (furan-bismaleimide) plus hydrogen bonds",urethane,crosslinked,oligourea,,,18.5,,151,,136,,23
