doi,sample_label,source_location,data_license,conditions,resin,functional_group_type,chain_architecture,soft_segment,soft_segment_mn_g_mol,toughener_type,toughener_pct,original_tensile_strength_mpa,original_strain_at_break_pct,elastic_modulus_gpa,peel_strength_n_mm
10.2494/photopolymer.26.333,PI-control,"PDF p. 6 (printed p. 338), tensile-property text and Figure 8","Open-access full text; Copyright 2013 Society of Photopolymer Science and Technology","{""metric_basis"":""virgin tensile properties"",""test_temperature"":""not reported"",""matrix"":""PI formed by thermal imidization of poly(amic acid)"",""pdms_introduction"":""in-situ sol-gel from diethoxydimethylsilane"",""pdms_wt_pct"":0}",polyimide,imide/amine,hybrid,,,PDMS,0,160,85,2.5,
10.2494/photopolymer.26.333,PI-PDMS-3wt,"PDF p. 6 (printed p. 338), tensile-property text and Figure 8","Open-access full text; Copyright 2013 Society of Photopolymer Science and Technology","{""metric_basis"":""virgin tensile properties"",""test_temperature"":""not reported"",""matrix"":""PI formed by thermal imidization of poly(amic acid)"",""pdms_introduction"":""in-situ sol-gel from diethoxydimethylsilane"",""pdms_wt_pct"":3}",polyimide,imide/amine,hybrid,PDMS,,PDMS,3,177,96,2.8,
10.1039/C7RA10949K,xPI-PDMS-0.05-Br,"Article p. 6 (printed p. 1333), Table 3; mechanical-properties section","Open-access full text; Copyright 2018 Royal Society of Chemistry","{""metric_basis"":""virgin tensile properties"",""test_relative_humidity_pct"":50,""matrix"":""piperazinium-mediated crosslinked PI-PDMS membrane"",""pdms_wt_pct"":5}",crosslinked polyimide,imide/amine,crosslinked,PDMS,,PDMS,5,89.9,6.7,2.3,
10.1039/C7RA10949K,xPI-PDMS-0.10-Br,"Article p. 6 (printed p. 1333), Table 3; mechanical-properties section","Open-access full text; Copyright 2018 Royal Society of Chemistry","{""metric_basis"":""virgin tensile properties"",""test_relative_humidity_pct"":50,""matrix"":""piperazinium-mediated crosslinked PI-PDMS membrane"",""pdms_wt_pct"":10}",crosslinked polyimide,imide/amine,crosslinked,PDMS,,PDMS,10,100.1,7,2.5,
10.1039/C7RA10949K,xPI-PDMS-0.15-Br,"Article p. 6 (printed p. 1333), Table 3; mechanical-properties section","Open-access full text; Copyright 2018 Royal Society of Chemistry","{""metric_basis"":""virgin tensile properties"",""test_relative_humidity_pct"":50,""matrix"":""piperazinium-mediated crosslinked PI-PDMS membrane"",""pdms_wt_pct"":15}",crosslinked polyimide,imide/amine,crosslinked,PDMS,,PDMS,15,84.5,9.4,2.2,
10.3390/polym16111591,PI-1-PDMS-3wt-Cu,"Article Table 1 and Sections 2.2, 3.5, and conclusion","CC BY 4.0","{""metric_basis"":""180-degree peel strength"",""substrate"":""copper foil"",""adhesion_test_method"":""180-degree peel"",""matrix"":""BPADA/6FAPB polyimide"",""pdms_type"":""aminopropyl-terminated PDMS, Mn 1000 g/mol"",""pdms_wt_pct"":3}",polyimide,imide/amine,copolymerized,PDMS,1000,PDMS,3,,,,0.98
10.3390/polym16111591,PI-2-PDMS-3wt-Cu,"Article Table 1 and Sections 2.2, 3.5, and conclusion","CC BY 4.0","{""metric_basis"":""180-degree peel strength"",""substrate"":""copper foil"",""adhesion_test_method"":""180-degree peel"",""matrix"":""BPADA/BAPS polyimide"",""pdms_type"":""aminopropyl-terminated PDMS, Mn 1000 g/mol"",""pdms_wt_pct"":3}",polyimide,imide/amine,copolymerized,PDMS,1000,PDMS,3,,,,0.85
