doi,sample_label,source_location,data_license,conditions,resin,dynamic_unit,functional_group_type,chain_architecture,soft_segment,metal_ligand,filler_type,filler_pct,dadiol_mol_pct,original_tensile_strength_mpa,healed_tensile_strength_mpa,healing_efficiency_pct
10.1016/j.mtcomm.2020.101138,SH-NIPU-1,"PDF p. 5, Table 2","User-authorized copy; Elsevier standard copyright","{""metric_basis"":""tensile-strength recovery"",""damage"":""dumbbell specimen cut at midpoint and reassembled in mold"",""thermal_activation"":""120 C for 30 min; then 60 C for 24 h"",""tensile_crosshead_speed_mm_min"":30,""specimen_dimensions_mm"":""20 x 4 x 0.4""}",non-isocyanate polyurethane,"Diels-Alder (furan-unsaturated polyester)",urethane,partially-crosslinked,,,,,,2.2,2.2,100
10.1016/j.mtcomm.2020.101138,SH-NIPU-2,"PDF p. 5, Table 2","User-authorized copy; Elsevier standard copyright","{""metric_basis"":""tensile-strength recovery"",""damage"":""dumbbell specimen cut at midpoint and reassembled in mold"",""thermal_activation"":""120 C for 30 min; then 60 C for 24 h"",""tensile_crosshead_speed_mm_min"":30,""specimen_dimensions_mm"":""20 x 4 x 0.4""}",non-isocyanate polyurethane,"Diels-Alder (furan-unsaturated polyester)",urethane,partially-crosslinked,,,,,,3.7,3.3,91
10.1016/j.mtcomm.2020.101138,SH-NIPU-3,"PDF p. 5, Table 2","User-authorized copy; Elsevier standard copyright","{""metric_basis"":""tensile-strength recovery"",""damage"":""dumbbell specimen cut at midpoint and reassembled in mold"",""thermal_activation"":""120 C for 30 min; then 60 C for 24 h"",""tensile_crosshead_speed_mm_min"":30,""specimen_dimensions_mm"":""20 x 4 x 0.4""}",non-isocyanate polyurethane,"Diels-Alder (furan-unsaturated polyester)",urethane,partially-crosslinked,,,,,,6.6,5.2,78
10.1002/mame.202000089,DA-ZN-PU-7FAID-80C40m,"PDF pp. 5-6, Figure 4 and self-healing text","User-authorized copy; Wiley-VCH standard copyright","{""metric_basis"":""tensile-strength recovery"",""damage"":""blade-induced scratch"",""thermal_activation"":""80 C for 40 min"",""fa_id_content_pct"":7}",polyurethane,"Diels-Alder (furan-maleimide) plus zinc-ligand and hydrogen bonds",urethane,crosslinked,PTMEG,zinc acetate,,,,28.45,25.85,90.86
10.1002/mame.202000089,DA-ZN-CIP-PU-7FAID-2CIP-MW3m,"PDF pp. 5-6, Figure 4 and self-healing text","User-authorized copy; Wiley-VCH standard copyright","{""metric_basis"":""tensile-strength recovery"",""damage"":""0.25 mm-deep scratch"",""thermal_activation"":""microwave 600 W for 3 min"",""fa_id_content_pct"":7}",polyurethane,"Diels-Alder (furan-maleimide) plus zinc-ligand and hydrogen bonds",urethane,crosslinked,PTMEG,zinc acetate,"carbonyl iron powder",2,,15.98,14.79,92.6
10.1002/macp.202400199,DAPU-10,"PDF p. 6, Figure 5 and self-healing text","User-authorized copy; Wiley-VCH standard copyright","{""metric_basis"":""maximum tensile-stress recovery"",""damage"":""damaged strip; morphology separately evaluated by scratch"",""thermal_activation"":""130 C for 2 h"",""tensile_crosshead_speed_mm_min"":10}",polyurethane adhesive,"Diels-Alder (furfuryl alcohol-bismaleimide) plus hydrogen bonds",urethane,linear,"poly(1,4-butylene adipate) plus soybean-oil polyol",,,,10,,,49
