doi,sample_label,source_location,data_license,conditions,resin,dynamic_unit,functional_group_type,chain_architecture,soft_segment,soft_segment_mn_g_mol,paper_r,original_tensile_strength_mpa,cut_tensile_strength_mpa,healed_tensile_strength_mpa,healing_efficiency_second_cycle_pct,healing_efficiency_pct
10.1039/C3RA42278J,PU-DA-cycle-1,"Accepted-manuscript PDF p. 8; Figure 8 and Scheme 4",user-authorized-internal-use,"{""metric_basis"": ""breaking tensile-strength recovery"", ""damage"": ""surface crack"", ""thermal_activation"": ""120 C for 5 min; then 60 C for 24 h"", ""healing_cycle"": 1}",polyurethane,"Diels-Alder (furan-bismaleimide)",urethane,linear,"poly(1,4-butylene adipate)",1000,,,,,66,80
10.1016/j.polymer.2017.07.049,PU-DA-R-1.5,"Accepted-manuscript PDF pp. 25-26; Table 2",user-authorized-internal-use,"{""metric_basis"": ""tensile-strength recovery"", ""damage"": ""0.5 mm deep cut"", ""thermal_activation"": ""120 C for 15 min; then 60 C for 24 h"", ""reported_replicates"": 3}",polyurethane,"Diels-Alder (furan-bismaleimide)",urethane,linear,PPG,2000,1.5,2.40,0.95,1.78,,57
10.1016/j.polymer.2017.07.049,PU-DA-R-2.0,"Accepted-manuscript PDF pp. 25-26; Table 2",user-authorized-internal-use,"{""metric_basis"": ""tensile-strength recovery"", ""damage"": ""0.5 mm deep cut"", ""thermal_activation"": ""120 C for 15 min; then 60 C for 24 h"", ""reported_replicates"": 3}",polyurethane,"Diels-Alder (furan-bismaleimide)",urethane,linear,PPG,2000,2.0,6.55,2.05,5.23,,71
10.1016/j.polymer.2017.07.049,PU-DA-R-2.5,"Accepted-manuscript PDF pp. 25-26; Table 2",user-authorized-internal-use,"{""metric_basis"": ""tensile-strength recovery"", ""damage"": ""0.5 mm deep cut"", ""thermal_activation"": ""120 C for 15 min; then 60 C for 24 h"", ""reported_replicates"": 3}",polyurethane,"Diels-Alder (furan-bismaleimide)",urethane,linear,PPG,2000,2.5,10.09,2.96,3.54,,8
10.1016/j.polymer.2017.07.049,PU-DA-PPG-1000,"Accepted-manuscript PDF p. 29; Table 3",user-authorized-internal-use,"{""metric_basis"": ""tensile-strength recovery"", ""damage"": ""0.5 mm deep cut"", ""thermal_activation"": ""120 C for 15 min; then 60 C for 24 h"", ""reported_replicates"": 3}",polyurethane,"Diels-Alder (furan-bismaleimide)",urethane,linear,PPG,1000,,8.50,3.06,3.73,,12
10.1016/j.polymer.2017.07.049,PU-DA-PPG-1500,"Accepted-manuscript PDF p. 29; Table 3",user-authorized-internal-use,"{""metric_basis"": ""tensile-strength recovery"", ""damage"": ""0.5 mm deep cut"", ""thermal_activation"": ""120 C for 15 min; then 60 C for 24 h"", ""reported_replicates"": 3}",polyurethane,"Diels-Alder (furan-bismaleimide)",urethane,linear,PPG,1500,,7.57,3.01,4.16,,25
