doi,sample_label,source_location,data_license,conditions,test_temperature_c,resin,dynamic_unit,functional_group_type,chain_architecture,soft_segment,soft_segment_mn_g_mol,da_diol_to_ppg_ratio,glass_transition_c,original_tensile_strength_mpa,healed_tensile_strength_mpa,modulus_recovery_pct,scratch_healing_efficiency_pct,healing_efficiency_pct
10.1039/C7RA09898G,PU2,"PDF p. 5, Figure 3 and tensile-recovery paragraph",CC-BY-3.0,"{""metric_basis"": ""tensile-stress recovery"", ""damage"": ""film cut into two pieces and reconnected"", ""thermal_activation"": ""130 C for 30 min; then 50 C for 24 h"", ""tensile_crosshead_speed_mm_min"": 10}",,polyurethane,"Diels-Alder (furan-maleimide)",urethane,crosslinked,PPG,2000,"90:10",-56.6,,17,40,102.2,68
10.3390/polym17141951,PU-H1,"PDF p. 17, Table 6",CC-BY-4.0,"{""metric_basis"": ""uniaxial tensile-strength recovery"", ""damage"": ""mechanically damaged dumbbell specimen"", ""thermal_activation"": ""120 C for 90 min; then 60 C for 24 h"", ""replicates"": 5, ""tensile_crosshead_speed_mm_min"": 50}",25,polyurethane,"Diels-Alder (furan-maleimide)",urethane,crosslinked,PPG,2000,,,14,18,64,,129
10.3390/polym17141951,PU-H2,"PDF p. 17, Table 6",CC-BY-4.0,"{""metric_basis"": ""uniaxial tensile-strength recovery"", ""damage"": ""mechanically damaged dumbbell specimen"", ""thermal_activation"": ""120 C for 90 min; then 60 C for 24 h"", ""replicates"": 5, ""tensile_crosshead_speed_mm_min"": 50}",25,polyurethane,"Diels-Alder (furan-maleimide)",urethane,crosslinked,PPG,2000,,,11,9,100,,81
10.3390/polym17141951,PU-M1,"PDF p. 17, Table 6",CC-BY-4.0,"{""metric_basis"": ""uniaxial tensile-strength recovery"", ""damage"": ""mechanically damaged dumbbell specimen"", ""thermal_activation"": ""120 C for 90 min; then 60 C for 24 h"", ""replicates"": 5, ""tensile_crosshead_speed_mm_min"": 50}",25,polyurethane,"Diels-Alder (furan-maleimide)",urethane,crosslinked,PPG,2000,,,20,12,44,,60
10.3390/polym17141951,PU-M2,"PDF p. 17, Table 6",CC-BY-4.0,"{""metric_basis"": ""uniaxial tensile-strength recovery"", ""damage"": ""mechanically damaged dumbbell specimen"", ""thermal_activation"": ""120 C for 90 min; then 60 C for 24 h"", ""replicates"": 5, ""tensile_crosshead_speed_mm_min"": 50}",25,polyurethane,"Diels-Alder (furan-maleimide)",urethane,crosslinked,PPG,2000,,,11,7,74,,64
10.3390/polym17141951,PU-T1,"PDF p. 17, Table 6",CC-BY-4.0,"{""metric_basis"": ""uniaxial tensile-strength recovery"", ""damage"": ""mechanically damaged dumbbell specimen"", ""thermal_activation"": ""120 C for 90 min; then 60 C for 24 h"", ""replicates"": 5, ""tensile_crosshead_speed_mm_min"": 50}",25,polyurethane,"Diels-Alder (furan-maleimide)",urethane,crosslinked,PPG,2000,,,8,9,76,,113
10.3390/polym17141951,PU-T2,"PDF p. 17, Table 6",CC-BY-4.0,"{""metric_basis"": ""uniaxial tensile-strength recovery"", ""damage"": ""mechanically damaged dumbbell specimen"", ""thermal_activation"": ""120 C for 90 min; then 60 C for 24 h"", ""replicates"": 5, ""tensile_crosshead_speed_mm_min"": 50}",25,polyurethane,"Diels-Alder (furan-maleimide)",urethane,crosslinked,PPG,2000,,,10,9,93,,90
10.3390/polym17141951,PU-NFu2-2,"PDF p. 17, Table 6",CC-BY-4.0,"{""metric_basis"": ""uniaxial tensile-strength recovery"", ""damage"": ""mechanically damaged dumbbell specimen"", ""thermal_activation"": ""120 C for 90 min; then 60 C for 24 h"", ""replicates"": 5, ""tensile_crosshead_speed_mm_min"": 50}",25,polyurethane,"Diels-Alder (furan-bismaleimide)",urethane,crosslinked,PPG,2000,,,3.2,2.1,68,,67
10.3390/polym17141951,PU-NFu-2,"PDF p. 17, Table 6",CC-BY-4.0,"{""metric_basis"": ""uniaxial tensile-strength recovery"", ""damage"": ""mechanically damaged dumbbell specimen"", ""thermal_activation"": ""120 C for 90 min; then 60 C for 24 h"", ""replicates"": 5, ""tensile_crosshead_speed_mm_min"": 50}",25,polyurethane,"Diels-Alder (furan-bismaleimide)",urethane,crosslinked,PPG,2000,,,2.4,1.2,50,,50
