doi,sample_label,source_location,data_license,conditions,resin,dynamic_unit,functional_group_type,chain_architecture,soft_segment,soft_segment_mn_g_mol,filler_type,filler_pct,original_tensile_strength_mpa,healed_tensile_strength_mpa,healing_efficiency_pct
10.32604/jrm.2022.019339,PU-DA-0BT,"PDF p. 7, Table 1",CC-BY-4.0,"{""metric_basis"": ""tensile-strength recovery"", ""damage"": ""cut into two pieces"", ""thermal_activation"": ""120 C for 20 min; then 60 C"", ""second_stage_duration_reported"": [""12 h in Methods"", ""30 min in macro-test/Table-1 context""], ""condition_ambiguity"": true, ""tensile_crosshead_speed_mm_min"": 500}",polyurethane,"Diels-Alder (furan-bismaleimide)",urethane,crosslinked,"PPG-2000 + HK-310",2000,BaTiO3,0,5.53,5.46,98
10.32604/jrm.2022.019339,PU-DA-5BT,"PDF p. 7, Table 1",CC-BY-4.0,"{""metric_basis"": ""tensile-strength recovery"", ""damage"": ""cut into two pieces"", ""thermal_activation"": ""120 C for 20 min; then 60 C"", ""second_stage_duration_reported"": [""12 h in Methods"", ""30 min in macro-test/Table-1 context""], ""condition_ambiguity"": true, ""tensile_crosshead_speed_mm_min"": 500}",polyurethane,"Diels-Alder (furan-bismaleimide)",urethane,crosslinked,"PPG-2000 + HK-310",2000,BaTiO3,5,5.81,5.40,93
10.32604/jrm.2022.019339,PU-DA-10BT,"PDF p. 7, Table 1",CC-BY-4.0,"{""metric_basis"": ""tensile-strength recovery"", ""damage"": ""cut into two pieces"", ""thermal_activation"": ""120 C for 20 min; then 60 C"", ""second_stage_duration_reported"": [""12 h in Methods"", ""30 min in macro-test/Table-1 context""], ""condition_ambiguity"": true, ""tensile_crosshead_speed_mm_min"": 500}",polyurethane,"Diels-Alder (furan-bismaleimide)",urethane,crosslinked,"PPG-2000 + HK-310",2000,BaTiO3,10,6.21,5.77,93
10.32604/jrm.2022.019339,PU-DA-15BT,"PDF p. 7, Table 1",CC-BY-4.0,"{""metric_basis"": ""tensile-strength recovery"", ""damage"": ""cut into two pieces"", ""thermal_activation"": ""120 C for 20 min; then 60 C"", ""second_stage_duration_reported"": [""12 h in Methods"", ""30 min in macro-test/Table-1 context""], ""condition_ambiguity"": true, ""tensile_crosshead_speed_mm_min"": 500}",polyurethane,"Diels-Alder (furan-bismaleimide)",urethane,crosslinked,"PPG-2000 + HK-310",2000,BaTiO3,15,6.30,5.83,92
10.32604/jrm.2022.019339,PU-DA-20BT,"PDF p. 7, Table 1",CC-BY-4.0,"{""metric_basis"": ""tensile-strength recovery"", ""damage"": ""cut into two pieces"", ""thermal_activation"": ""120 C for 20 min; then 60 C"", ""second_stage_duration_reported"": [""12 h in Methods"", ""30 min in macro-test/Table-1 context""], ""condition_ambiguity"": true, ""tensile_crosshead_speed_mm_min"": 500}",polyurethane,"Diels-Alder (furan-bismaleimide)",urethane,crosslinked,"PPG-2000 + HK-310",2000,BaTiO3,20,6.68,5.86,87
